YEAR,EXCHANGE RATE,TRADE BALANCE,UNEMPLOYMENT RATE,GDP
2004,8.273998,"-10,927.20",5.5,185405.326
2005,8.193810833,"-16,856.52",5.1,191863.836
2006,7.976367667,"-19,508.44",4.6,197206.384
2007,7.608615,"-13,924.10",4.6,201157.017
2008,6.9515305,"-22,336.65",5.8,201384.188
2009,6.831222583,"-15,993.43",9.3,196192.641
2010,6.770354167,"-22,753.48",9.6,201380.53
2011,6.463509,"-24,604.13",8.9,204631.843
2012,6.310183333,"-26,258.54",8.1,209315.811
2013,6.152818917,"-26,556.99",7.4,213748.873
2014,6.1576005,"-28,734.81",6.2,219143.316
2015,6.282854,"-30,610.69",5.3,225597.121
2016,6.64260075,"-24,862.02",4.9,229700.663
2017,6.785299417,"-31,263.98",4.4,235345.224
2018,6.616941583,"-34,852.75",3.9,242326.768
2019,6.908170667,"-28,552.45",3.7,248305.352
2020,6.902051167,"-25,663.88",8.1,242819.766
2021,6.4519475,"-29,404.53",5.4,256909.118
2022,6.728783333,"-31,857.91",3.6,261881.483
